trimesh\util.py:2064: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.10 it will stop working
C:\build\Cura\4.12-exe\build\inst\lib\python3.8\site-packages\UM\Qt\QtApplication.py:316: DeprecationWarning: The icon 'search' is deprecated. Please use icon 'Magnifier' instead.
2021-12-13 21:07:36,701 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService._parseJWT [100]: There was no auth data or access token
2021-12-13 21:07:36,775 - WARNING - [MainThread] UM.Qt.QtApplication.__onQmlWarning [421]: file:///D:/Programs/Cura/resources/qml/Settings/SettingView.qml:140:5: QML SettingVisibilityPresetsMenu: Binding loop detected for property "width"
2021-12-13 21:07:36,825 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService._parseJWT [100]: There was no auth data or access token
2021-12-13 21:07:36,826 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService._parseJWT [100]: There was no auth data or access token
2021-12-13 21:07:36,865 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-12-13 21:07:36,957 - DEBUG - [MainThread] UM.Controller.setActiveStage [180]: Setting active stage to PrepareStage
2021-12-13 21:07:37,005 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-12-13 21:07:37,097 - DEBUG - [MainThread] UM.Controller.setActiveView [108]: Setting active view to SolidView
2021-12-13 21:07:37,104 - DEBUG - [MainThread] ModelChecker.ModelChecker._createView [118]: Creating model checker view.
2021-12-13 21:07:37,108 - DEBUG - [MainThread] ModelChecker.ModelChecker._createView [127]: Model checker view created.
2021-12-13 21:07:37,109 - DEBUG - [MainThread] SliceInfoPlugin.SliceInfo._createDialog [76]: Creating dialog [MoreInfoWindow.qml]
2021-12-13 21:07:37,142 - DEBUG - [MainThread] UM.Logger.debug [122]: Requesting updates metadata from server.
2021-12-13 21:07:37,144 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService.getAccessToken [133]: No auth data to retrieve the access_token from
2021-12-13 21:07:37,146 - DEBUG - [MainThread] UM.Logger.debug [122]: User is not logged in for Cloud API request to https://api.ultimaker.com/cura-packages/v1/cura/v7.8.0/packages/package-updates?installed_packages=STLReader:1.0.1&installed_packages=VersionUpgrade460to462:1.0.0&installed_packages=VersionUpgrade25to26:1.0.1&installed_packages=UpdateChecker:1.0.1&installed_packages=UFPReader:1.0.0&installed_packages=GCodeWriter:1.0.1&installed_packages=VersionUpgrade40to41:1.0.1&installed_packages=GenericCPE:1.4.0&installed_packages=GenericBAM:1.4.0&installed_packages=UltimakerCPEP:1.4.0&installed_packages=X3DReader:1.0.1&installed_packages=GCodeReader:1.0.1&installed_packages=VersionUpgrade42to43:1.0.0&installed_packages=UltimakerTPU:1.4.0&installed_packages=GenericPC:1.4.0&installed_packages=VersionUpgrade44to45:1.0.0&installed_packages=IMADE3DJellyBOXPETG:1.0.1&installed_packages=SimpleView:1.0.1&installed_packages=IMADE3DJellyBOXPLA:1.0.1&installed_packages=FABtotumPLA:1.4.0&installed_packages=GenericNylon:1.4.0&installed_packages=PolyFlexPLA:1.0.1&installed_packages=VersionUpgrade27to30:1.0.1&installed_packages=FileLogger:1.0.1&installed_packages=ScaleTool:1.0.1&installed_packages=VersionUpgrade411to412:1.0.0&installed_packages=UltimakerPLA:1.4.0&installed_packages=CuraEngineBackend:1.0.1&installed_packages=LegacyProfileReader:1.0.1&installed_packages=GenericHIPS:1.4.0&installed_packages=VersionUpgrade43to44:1.0.0&installed_packages=GenericPP:1.4.0&installed_packages=GCodeGzReader:1.0.1&installed_packages=PolyWoodPLA:1.0.1&installed_packages=PostProcessingPlugin:2.2.1&installed_packages=SupportEraser:1.0.1&installed_packages=PreviewStage:1.0.1&installed_packages=SliceInfoPlugin:1.0.1&installed_packages=RotateTool:1.0.1&installed_packages=GenericTPU:1.4.0&installed_packages=UFPWriter:1.0.1&installed_packages=3MFWriter:1.0.1&installed_packages=GenericCFFPA:1.4.0&installed_packages=VertexDeltaPET:1.4.0&installed_packages=PrepareStage:1.0.1&installed_packages=Toolbox:1.0.1&installed_packages=VersionUpgrade30to31:1.0.1&installed_packages=UltimakerPP:1.4.0&installed_packages=VersionUpgrade33to34:1.0.1&installed_packages=MachineSettingsAction:1.0.1&installed_packages=CuraDrive:1.2.0&installed_packages=GenericGFFCPE:1.4.0&installed_packages=GenericABS:1.4.0&installed_packages=UltimakerPVA:1.4.0&installed_packages=GenericPVA:1.4.0&installed_packages=ConsoleLogger:1.0.1&installed_packages=VertexDeltaABS:1.4.0&installed_packages=VersionUpgrade34to35:1.0.1&installed_packages=VersionUpgrade41to42:1.0.0&installed_packages=AMFReader:1.0.0&installed_packages=MonitorStage:1.0.1&installed_packages=MirrorTool:1.0.1&installed_packages=LocalContainerProvider:1.0.1&installed_packages=FirmwareUpdater:1.0.1&installed_packages=GCodeProfileReader:1.0.1&installed_packages=DagomaChromatikPLA:1.0.1&installed_packages=UltimakerABS:1.4.0&installed_packages=UltimakerNylon:1.4.0&installed_packages=UltimakerCPE:1.4.0&installed_packages=VersionUpgrade21to22:1.0.1&installed_packages=VersionUpgrade48to49:1.0.0&installed_packages=UltimakerPC:1.4.0&installed_packages=VersionUpgrade22to24:1.0.1&installed_packages=DigitalLibrary:1.1.0&installed_packages=OctofiberPLA:1.0.1&installed_packages=UM3NetworkPrinting:1.0.1&installed_packages=VertexDeltaTPU:1.4.0&installed_packages=LocalFileOutputDevice:1.0.1&installed_packages=GenericPLA:1.4.0&installed_packages=VersionUpgrade45to46:1.0.0&installed_packages=PolyPlusPLA:1.0.1&installed_packages=3MFReader:1.0.1&installed_packages=SolidView:1.0.1&installed_packages=XRayView:1.0.1&installed_packages=VersionUpgrade26to27:1.0.1&installed_packages=VertexDeltaPLA:1.4.0&installed_packages=GenericCFFCPE:1.4.0&installed_packages=UltimakerTPLA:1.4.0&installed_packages=GCodeGzWriter:1.0.1&installed_packages=VersionUpgrade32to33:1.0.1&installed_packages=GenericGFFPA:1.4.0&installed_packages=Filo3DPLA:1.0.1&installed_packages=FirmwareUpdateChecker:1.0.1&installed_packages=CuraProfileWriter:1.0.1&installed_packages=TrimeshReader:1.0.0&installed_packages=TranslateTool:1.0.1&installed_packages=GenericToughPLA:1.4.0&installed_packages=SimulationView:1.0.1&installed_packages=UltimakerBAM:1.4.0&installed_packages=CuraProfileReader:1.0.1&installed_packages=PerObjectSettingsTool:1.0.1&installed_packages=USBPrinting:1.0.2&installed_packages=SelectionTool:1.0.1&installed_packages=GenericPETG:1.4.0&installed_packages=VersionUpgrade49to410:1.0.0&installed_packages=CameraTool:1.0.1&installed_packages=UltimakerMachineActions:1.0.1&installed_packages=FABtotumABS:1.4.0&installed_packages=FABtotumTPU:1.4.0&installed_packages=VersionUpgrade35to40:1.0.0&installed_packages=OBJWriter:1.0.1&installed_packages=RemovableDriveOutputDevice:1.0.1&installed_packages=FiberlogyHDPLA:1.0.1&installed_packages=PolyMaxPLA:1.0.1&installed_packages=VersionUpgrade47to48:1.0.0&installed_packages=SentryLogger:1.0.0&installed_packages=VersionUpgrade462to47:1.0.0&installed_packages=ImageReader:1.0.1&installed_packages=STLWriter:1.0.1&installed_packages=GenericCPEPlus:1.4.0&installed_packages=ModelChecker:1.0.1&installed_packages=FABtotumNylon:1.4.0&installed_packages=OBJReader:1.0.1&installed_packages=XmlMaterialProfile:1.0.1
2021-12-13 21:07:37,154 - DEBUG - [MainThread] cura.CuraApplication.run [857]: Booting Cura took 4.467026948928833 seconds
2021-12-13 21:07:37,155 - DEBUG - [JobQueueWorker [1]] cura.Machines.ContainerTree.run [174]: Started background loading of MachineNodes
2021-12-13 21:07:37,172 - DEBUG - [MainThread] cura.Machines.Models.QualityProfilesDropDownMenuModel._update [58]: Updating QualityProfilesDropDownMenuModel.
2021-12-13 21:07:37,226 - DEBUG - [MainThread] cura.Machines.Models.CustomQualityProfilesDropDownMenuModel._update [33]: Updating CustomQualityProfilesDropDownMenuModel.
2021-12-13 21:07:37,342 - DEBUG - [MainThread] cura.Machines.Models.QualityProfilesDropDownMenuModel._update [58]: Updating QualityProfilesDropDownMenuModel.
2021-12-13 21:07:37,345 - DEBUG - [MainThread] cura.Machines.Models.CustomQualityProfilesDropDownMenuModel._update [33]: Updating CustomQualityProfilesDropDownMenuModel.
2021-12-13 21:07:37,537 - DEBUG - [MainThread] UM.Qt.QtRenderer._initialize [210]: Support for Vertex Array Objects: True
2021-12-13 21:07:37,543 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [112]: Initialized OpenGL subsystems.
2021-12-13 21:07:37,545 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [113]: OpenGL Version:  4.1.0 NVIDIA 471.68
2021-12-13 21:07:37,546 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [114]: OpenGL Vendor:   NVIDIA Corporation
2021-12-13 21:07:37,548 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [115]: OpenGL Renderer: NVIDIA GeForce GTX 1070/PCIe/SSE2
2021-12-13 21:07:37,550 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [116]: GLSL Version:    4.0.0
2021-12-13 21:07:37,551 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [D:\Programs\Cura\resources\shaders\default.shader]...
2021-12-13 21:07:37,554 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [D:\Programs\Cura\resources\shaders\selection.shader]...
2021-12-13 21:07:37,556 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [D:\Programs\Cura\resources\shaders\select_face.shader]...
